SKILL_20150317_000001	攻击
SKILL_20150317_000101	[Mauros] 物理, 打击, 闇属性捣毁攻击一次
SKILL_20150317_000102	[Sauga] 物理 打击 地属性 攻击一次
SKILL_20150317_000103	[Sauga] 物理, 打击, 地属性地域捣毁
SKILL_20150317_000104	南瓜普通攻击
SKILL_20150317_000105	攻击模式二
SKILL_20150317_000106	南瓜普通攻击模式二
SKILL_20150317_000107	[Saurman Priest] 普通攻击
SKILL_20150317_000108	技能
SKILL_20150317_000109	[Saurman Priest] 技能列
SKILL_20150317_000110	[Saurman Priest] 普通攻击
SKILL_20150317_000111	[Saurman Priest] 普通攻击模式二
SKILL_20150317_000112	男鬼魂普通攻击
SKILL_20150317_000113	男鬼魂技能列
SKILL_20150317_000114	大叔鬼魂普通攻击
SKILL_20150317_000115	大叔鬼魂技能列
SKILL_20150317_000116	Goble Elite 普通攻击
SKILL_20150317_000117	Goble Elite 普通攻击模式二
SKILL_20150317_000118	螺旋殭尸普通攻击
SKILL_20150317_000119	螺旋殭尸普通攻击模式二
SKILL_20150317_000120	狂战殭尸普通攻击
SKILL_20150317_000121	蜡烛殭尸普通攻击
SKILL_20150317_000122	殭尸弓箭手普通攻击
SKILL_20150317_000123	[High Vubbe] 物理, 斩击, 水属性, 普通攻击
SKILL_20150317_000124	[High Vubbe Archer] 范围, 穿刺, 水属性, 普通攻击
SKILL_20150317_000125	女鬼魂普通攻击
SKILL_20150317_000126	女鬼魂技能列
SKILL_20150317_000127	女主鬼魂普通攻击
SKILL_20150317_000128	女主鬼魂技能列
SKILL_20150317_000129	Mirtis eyeball 普通攻击
SKILL_20150317_000130	Mirtis eyeball 普通攻击模式二
SKILL_20150317_000131	Spector Elite 普通攻击
SKILL_20150317_000132	Spector Elite 普通攻击模式二
SKILL_20150317_000133	[Chinency] 物理, 打击, 土属性, 背刺攻击一次
SKILL_20150317_000134	[Popolion] 物理, 打击, 土属性, 头击
SKILL_20150317_000135	[Popolion] 物理, 打击, 土属性, 波动攻击
SKILL_20150317_000136	[范围 Chinency] 普通攻击, 向前发射
SKILL_20150317_000137	[范围 Chinency] 技能一, 向前发射, 引导向后
SKILL_20150317_000138	[Chupacabra] 物理, 打击, 土属性, 头击
SKILL_20150317_000139	[Chupacabra] 物理, 打击, 土属性, 跳跃捣毁
SKILL_20150317_000140	[Chupacabra] Chupa 普通攻击模式三
SKILL_20150317_000141	[Chupacabra] Chupa 普通攻击模式四
SKILL_20150317_000142	幽魂者普通攻击
SKILL_20150317_000143	木灵普通攻击
SKILL_20150317_000144	木灵普通攻击模式二
SKILL_20150317_000145	守卫普通攻击
SKILL_20150317_000146	守卫普通攻击模式二
SKILL_20150317_000147	大范围爆炸
SKILL_20150317_000148	大范围爆炸（防御）
SKILL_20150317_000149	单向炮塔普通攻击
SKILL_20150317_000150	[Ridimed] 物理, 打击, 毒属性, 一次性攻击
SKILL_20150317_000151	哥布灵斗士攻击
SKILL_20150317_000152	荆棘普通攻击
SKILL_20150317_000153	[战斗士兵] 战斗攻击
SKILL_20150317_000154	[战斗士兵] 战斗攻击模式二
SKILL_20150317_000155	殭尸弓箭手技能列
SKILL_20150317_000156	轮椅殭尸普通攻击
SKILL_20150317_000157	轮椅殭尸普通攻击模式二
SKILL_20150317_000158	火焰之墙
SKILL_20150317_000159	创造一个火墙，怪物若碰触会触发伤害
SKILL_20150317_000160	矿物爆炸
SKILL_20150317_000161	矿物严重爆炸
SKILL_20150317_000162	致命毒素爆炸
SKILL_20150317_000163	引爆有毒的矿物
SKILL_20150317_000164	猎魔者爆炸
SKILL_20150317_000165	猎魔者爆炸
SKILL_20150317_000166	跳跃攻击
SKILL_20150317_000167	生命涌泉
SKILL_20150317_000168	生命涌泉小丘
SKILL_20150317_000169	冰川 契击
SKILL_20150317_000170	在两道冰川契击之后
SKILL_20150317_000171	种子爆炸
SKILL_20150317_000172	种子爆炸
SKILL_20150317_000173	闪燃
SKILL_20150317_000174	闪燃
SKILL_20150317_000175	暴风雪
SKILL_20150317_000176	流星攻击
SKILL_20150317_000177	普通攻击
SKILL_20150317_000178	向下拍击
SKILL_20150317_000179	向下拍击之时会给予怪物伤害并推离
SKILL_20150317_000180	飞弹攻击
SKILL_20150317_000181	AOS 炮塔攻击
SKILL_20150317_000182	木头人攻击
SKILL_20150317_000183	蝾螈攻击
SKILL_20150317_000184	[Vubbe Miner] 物理, tung, 土属性, 顶杆挥舞
SKILL_20150317_000185	殿堂雕像攻击
SKILL_20150317_000186	殿堂雕像技能列
SKILL_20150317_000187	祭司攻击模式一
SKILL_20150317_000188	祭司技能列表一
SKILL_20150317_000189	[Green Apparition] 魔法, 魔法, brain 属性, once the 攻击
SKILL_20150317_000190	攻击 Statue 1
SKILL_20150317_000191	[Vubbe Theif] 物理, 斩击, 土 属性, 旋转长矛
SKILL_20150317_000192	[Vubbe Theif] 物理, stab, 土 属性 Aries skills
SKILL_20150317_000193	[Saurman Spearman] Normal 攻击.
SKILL_20150317_000194	[Saurman Spearman] Normal 攻击 2.
SKILL_20150317_000195	[Vubbe Archer] 范围, 穿刺, 土 属性, 向前方弓箭 攻击
SKILL_20150317_000196	[Pokubu] 物理, blow, 土 属性, hook 攻击
SKILL_20150317_000197	[Bagworm] 魔法, 魔法, 毒 属性 攻击 在前方散播毒属性
SKILL_20150317_000198	[Bagworm] long distance, 魔法, 毒 属性, 在前方进行远距离毒攻击
SKILL_20150317_000199	[Saurman Axeman] Normal 攻击.
SKILL_20150317_000200	[Saurman Axeman] Normal 攻击 2.
SKILL_20150317_000201	治疗
SKILL_20150317_000202	Monster Hill
SKILL_20150317_000203	Vubbe miners 攻击
SKILL_20150317_000204	[The Four Nick became wildly] Normal 攻击.
SKILL_20150317_000205	Guard Normal 攻击.
SKILL_20150317_000206	Guard Normal 攻击 2.
SKILL_20150317_000207	Guard Normal 攻击 3.
SKILL_20150317_000208	[C以及le Spider] 物理, blow, 闇　属性, one foot 攻击
SKILL_20150317_000209	[C以及le Spider] 物理, blow, 闇　属性, body stomp
SKILL_20150317_000210	[C以及le Spider] 物理, blow, 闇　属性, jump 以及 two feet stomp
SKILL_20150317_000211	[Winged Frog] 物理, blow, 毒 属性, 攻击 1 次
SKILL_20150317_000212	[Winged Frog] 物理, blow, 毒 属性, 毒 攻击 1 次
SKILL_20150317_000213	[Winged Frog] 物理, blow, 闇　属性, 头击 击退攻击
SKILL_20150317_000214	[Black Leaf Bug] 物理, blow, 闇　属性, 身体重压
SKILL_20150317_000215	[Black Leaf Bug] 物理, blow, 闇　属性, 咬 攻击
SKILL_20150317_000216	[Black Leaf Bug] 物理, blow, 闇　属性, 跳跃 攻击
SKILL_20150317_000217	[Cemetery Golem] 物理, blow, 土 属性 攻击 1 次
SKILL_20150317_000218	[Drake] 物理, 以及 剑, 火 属性, 攻击 1 次
SKILL_20150317_000219	[Drake] 魔法, 魔法, 火 属性, 烟雾火焰 攻击
SKILL_20150317_000220	[Big Cockatrice] 物理, stinging, 火 属性, 攻击 2 次
SKILL_20150317_000221	[Big Cockatrice] 魔法 refers, 火 属性, fly 以及 head butt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] 物理 Normal Strike
SKILL_20150317_000224	[Panto Shaman] 魔法 雷属性 Strike
SKILL_20150317_000225	[Panto Shaman] 魔法 雷属性 魔法
SKILL_20150317_000226	[Panto Wizard] 物理 Normal Strike
SKILL_20150317_000227	[Panto Wizard] 魔法 雷属性 Strike
SKILL_20150317_000228	[Panto Wizard] 魔法 雷属性 魔法
SKILL_20150317_000229	[Moya] 物理, Strike, 雷属性 攻击
SKILL_20150317_000230	[Moyabu] 物理, Strike, 雷属性 攻击
SKILL_20150317_000231	[Bavon] 物理, Strike, 地属性 攻击
SKILL_20150317_000232	[Tanu] 物理 毒属性 斩击
SKILL_20150317_000233	[Zignuts] 物理 毒属性 Strike
SKILL_20150317_000234	[Zignuts] 物理 Normal 斩击
SKILL_20150317_000235	[Moglan] 物理, 穿刺, 雷属性 攻击
SKILL_20150317_000236	[Moglan] 物理, 穿刺, 雷属性 旋转 攻击 2 次
SKILL_20150317_000237	[Denden] 物理, Hit, 闇属性 攻击
SKILL_20150317_000238	[Denden] 范围, 魔法, 闇属性 Shoot 1 次
SKILL_20150317_000239	[Doyor] 物理, Strike, 毒属性 攻击
SKILL_20150317_000240	[Doyor] 魔法 反射盾 魔法
SKILL_20150317_000241	[Tipio] 物理 Normal Strike
SKILL_20150317_000242	[Tipio] 魔法 毒属性 魔法
SKILL_20150317_000243	[Rondo] 物理, 穿刺, 地属性 攻击
SKILL_20150317_000244	物理, Strike, 地属性, 攻击
SKILL_20150317_000245	[Terranymph] 物理, Strike, 闇属性 攻击
SKILL_20150317_000246	[Venucelos] 物理, Strike, 地属性, 攻击
SKILL_20150317_000247	[Venucelos] 物理, Strike, 地属性, 攻击 3 time(s)
SKILL_20150317_000248	[Grave Golem] 物理, Strike, 无属性, 攻击
SKILL_20150317_000249	[Grave Golem] 物理, Strike, 无属性, 重击 攻击
SKILL_20150317_000250	[Grave Golem] 物理, Strike, 无属性, 攻击 附近的怪物
SKILL_20150317_000251	[Wheelen] 物理, 穿刺, 雷属性 穿刺 攻击
SKILL_20150317_000252	[Wheelen] 物理, 穿刺, 雷属性 旋转 攻击 2 次
SKILL_20150317_000253	[Wheelen] 物理, 穿刺, 雷属性 Strong 穿刺 攻击
SKILL_20150317_000254	[Rockter] 物理, Strike, 无属性, 身体 重压
SKILL_20150317_000255	[Caro] 物理, 斩击, 毒属性, 攻击 2 次
SKILL_20150317_000256	[Vubbe Fighter] 1 次 , 物理, Strike, 地属性
SKILL_20150317_000257	[Red_Kepa] 1 次 物理,Hit, 火属性
SKILL_20150317_000258	[Tiny] 物理, 斩击, 雷属性, 攻击 2 次
SKILL_20150317_000259	[Treeambulo] 物理, Strike, 地属性, 攻击
SKILL_20150317_000260	[Spion] 物理, Strike, 毒属性, 攻击 2 次
SKILL_20150317_000261	[Bat] 物理, Strike, 闇属性, Strike with wings
SKILL_20150317_000262	[Shredded] 魔法, 魔法, 闇属性, 闇属性
SKILL_20150317_000263	[Yekubite] 物理, Strike, 冰 属性, Head stomp
SKILL_20150317_000264	[Shardstatue] 物理, 穿刺, 雷属性, Wing strike
SKILL_20150317_000265	[Cire] 物理, Strike, 雷属性, 攻击
SKILL_20150317_000266	[Treegool] 物理, Hit, 闇属性, 攻击
SKILL_20150317_000267	[Ammon] 物理, 斩击, 地属性 攻击
SKILL_20150317_000268	[Operor] 物理, 穿刺, 毒属性, Bee Sting 攻击
SKILL_20150317_000269	[Chafperor] 物理, 穿刺, 毒属性, 穿刺
SKILL_20150317_000270	[Ravinelerva] 范围, 魔法, 毒属性, 攻击
SKILL_20150317_000271	[Vesper] 物理, Strike, 闇属性, Tail whip
SKILL_20150317_000272	[Karas] 物理, 斩击, 闇属性, 攻击
SKILL_20150317_000273	[Echad] 物理, Hit, 地属性, 攻击
SKILL_20150317_000274	[Shtayim] 物理, Hit, 地属性, 攻击
SKILL_20150317_000275	[Tombsinker] 物理, 穿刺, 闇属性, 攻击
SKILL_20150317_000276	[Weaver] 物理, Hit, 地属性, Smoke 攻击
SKILL_20150317_000277	[Hallowventer] 魔法, 魔法, 闇属性, 攻击
SKILL_20150317_000278	[Infro Rocktor] 物理, Strike, 地属性, One hand hit
SKILL_20150317_000279	[Meleech] 物理, 斩击, 毒属性, 攻击
SKILL_20150317_000280	[Infroburk] 物理, Strike, 火属性, 攻击
SKILL_20150317_000281	[Zolem] 物理, Strike, 地属性, 攻击
SKILL_20150317_000282	[Kepa Raider] 物理, Strike, 闇属性, 攻击
SKILL_20150317_000283	[Mushcarfung] 物理, Hit, 闇属性, Body 攻击
SKILL_20150317_000284	[Woodman] 物理, 斩击, 闇属性, 攻击
SKILL_20150317_000285	[Wood_Goblin] 物理, Strike, 雷属性, 攻击
SKILL_20150317_000286	[Stoneorca] 物理, Strike, 冰 属性, Tail Hook
SKILL_20150317_000287	[Stoneorca] 魔法, 增加 Block, Buff , 魔法
SKILL_20150317_000288	[Drape] 物理, 穿刺, 毒属性 攻击,
SKILL_20150317_000289	[Infroholder] 物理, Strike, 火属性, 攻击
SKILL_20150317_000290	[Repusbunny] 物理, 斩击, 冰 属性, 攻击
SKILL_20150317_000291	[Armory] 物理, Strike, 火属性 攻击
SKILL_20150317_000292	[Hound] 物理, 穿刺, 闇属性 攻击
SKILL_20150317_000293	[Stoulet] 物理, Strike, 闇属性 攻击
SKILL_20150317_000294	[Prisonfighter] 物理, 斩击, 闇属性 攻击
SKILL_20150317_000295	[Caro] 物理, 斩击, 毒属性, 攻击
SKILL_20150317_000296	[Maggot] 物理, Strike, 闇属性, Body Stomp
SKILL_20150317_000297	[Vubbe Chaser] 物理, 穿刺, 闇属性, 穿刺 攻击
SKILL_20150317_000298	[Red Meduja] 魔法, 魔法, 火属性, 攻击
SKILL_20150317_000299	魔法 闇属性 魔法
SKILL_20150317_000300	[Filibo] 物理, Strike, 毒属性 攻击
SKILL_20150317_000301	[Ellom] 物理, Strike, 雷属性, Smoke 攻击
SKILL_20150317_000302	[Ellom] 物理, Strike, 雷属性, Smash 攻击
SKILL_20150317_000303	[Hogma Warrior] 物理 斩击 火属性 攻击
SKILL_20150317_000304	[Hogma Archer] 范围 穿刺 雷属性 攻击
SKILL_20150317_000305	[Hogma Shaman] 魔法, 魔法, 火属性 攻击
SKILL_20150317_000306	[Merog Shaman] 魔法, 魔法, 冰 属性, 范围 Force 攻击
SKILL_20150317_000307	[Merog 毒 Accupunturist] 范围, 穿刺, 毒属性, Shoot poison
SKILL_20150317_000308	[Hogma Shaman] 魔法, 魔法, 火属性 火wall 攻击,
SKILL_20150317_000309	[Merog Shaman] 魔法, Hit, 冰 属性, with Rod
SKILL_20150317_000310	[Hogma Warrior] 物理 Strike 火属性 Shield 击退 攻击
SKILL_20150317_000311	[Hogma Warrior] Buff, 魔法 火属性 Block 增加
SKILL_20150317_000312	[Merog 毒 Accupunturist] 范围, 穿刺, 毒属性, 跳起并射出毒针
SKILL_20150317_000313	[Hogma Battle Comm以及er] 物理 斩击 闇属性 攻击
SKILL_20150317_000314	[Hogma Battle Comm以及er] 物理 穿刺 闇属性 攻击
SKILL_20150317_000315	[Hogma Battle Comm以及er] Monster Summon
SKILL_20150317_000316	[Lizardman] 物理, Strike, 雷属性, 攻击
SKILL_20150317_000317	[Chupaluka] 物理, Hit, 闇属性 攻击
SKILL_20150317_000318	[Ellomago] 物理, 穿刺, 雷属性, 攻击
SKILL_20150317_000319	[Ellogua] 物理, 穿刺, 雷属性 攻击
SKILL_20150317_000320	[Ellogua] 范围, 魔法, 雷属性 Shoot
SKILL_20150317_000321	[Wendigo] 物理 斩击 火属性 攻击
SKILL_20150317_000322	[Lizardman] 物理, Strike, 雷属性, 前进 并且 用头击 攻击
SKILL_20150317_000323	[Kepari] 魔法, 魔法, 火属性 攻击 火 디Buff
SKILL_20150317_000324	[Kodomor] 物理, Strike, 毒属性 攻击
SKILL_20150317_000325	[Kowak] 物理, Strike, 地属性 攻击
SKILL_20150317_000326	[Groll] 物理, 穿刺, 毒属性, Smoke 攻击
SKILL_20150317_000327	[Groll] 物理, 穿刺, 毒属性, Sting with horn 攻击
SKILL_20150317_000328	[Chupacabra] 物理, Strike, 闇属性, 攻击
SKILL_20150317_000329	[Tama] 物理, Strike, 地属性 攻击
SKILL_20150317_000330	[Medakia] 魔法, 斩击, 闇属性 攻击
SKILL_20150317_000331	[Lemur] 物理, 斩击, 冰 属性 攻击,
SKILL_20150317_000332	[Hogma Fighter] 物理 斩击 雷属性 攻击
SKILL_20150317_000333	[Hogma Guard] 物理 Strike 冰 属性 攻击
SKILL_20150317_000334	物理, Strike, 地属性 One-hand 攻击
SKILL_20150317_000335	魔法, 魔法, 治疗 Floor
SKILL_20150317_000336	物理, Strike, 地属性 Body 攻击 3 times
SKILL_20150317_000337	[Old Hook] 物理, 斩击, 地属性, 攻击
SKILL_20150317_000338	[Old Hook] 物理, 斩击, 地属性, Smash 攻击
SKILL_20150317_000339	[Old Hook] 物理, 斩击, 地属性, 旋转 攻击
SKILL_20150317_000340	[Varv] 物理, Strike, 毒属性, 攻击
SKILL_20150317_000341	[Phyracon] 魔法, 魔法, 火属性, 火 Shooting 攻击 3 time(s)
SKILL_20150317_000342	[Phyracon] 物理, Strike, 火属性, 攻击
SKILL_20150317_000343	[Phyracon] 魔法, 魔法, 火属性, Flame Fume 攻击 2 次
SKILL_20150317_000344	[Red Old Hook] 物理, 斩击, 火属性, 旋转 攻击
SKILL_20150317_000345	[Red Old Hook] 物理, 斩击, 火属性, Smash 攻击
SKILL_20150317_000346	[Arma] 物理, 穿刺, 火属性, 攻击
SKILL_20150317_000347	[Arma] 物理, 穿刺, 火属性, March 以及 攻击 2 次
SKILL_20150317_000348	[Flask] 物理, Strike, 火属性, 攻击
SKILL_20150317_000349	[Black Shaman Doll] 物理, 穿刺, 闇属性, 攻击
SKILL_20150317_000350	[Dimmer] 物理, Hit, 火属性, 攻击
SKILL_20150317_000351	[Dimmer] 物理, Hit, 火属性, 攻击 2 次
SKILL_20150317_000352	[Wizard Shaman Doll] 物理, Strike, 闇属性, 攻击
SKILL_20150317_000353	[Wizard Shaman Doll] 物理, Strike, 闇属性, Rotate 以及 攻击 3 time(s)
SKILL_20150317_000354	[Sequoia Flame] 魔法, 魔法, 火属性, 攻击
SKILL_20150317_000355	[Raflower] 物理, 穿刺, 毒属性, Tentacle 攻击
SKILL_20150317_000356	[Raflower] 物理, 穿刺, 毒属性, Tentacle 攻击
SKILL_20150317_000357	[Vubbe Wizard] 魔法, 魔法, 火属性, 能量矢
SKILL_20150317_000358	[Vubbe Wizard] 魔法, 魔法, 火属性, 反射盾 Buff
SKILL_20150317_000359	[Vubbe 火 Wizard] 魔法, 魔法, 火属性, 范围 火ball 攻击
SKILL_20150317_000360	[Vubbe 火 Wizard] 魔法, 魔法, 火属性, Fiore Pillar 攻击
SKILL_20150317_000361	[Vubbe 冰 Wizard] 魔法, 魔法, 冰 属性, 范围 冰 Bolt 攻击
SKILL_20150317_000362	[Vubbe 冰 Wizard] 魔法, 魔法, 冰 属性, 리프리져웨이브 攻击
SKILL_20150317_000363	[Vubbe Shaman] 魔法, 魔法, 闇属性, 治疗 Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] 魔法, 魔法, 闇属性, Floor Skill
SKILL_20150317_000365	[Shredded] 魔法, 魔法, 闇属性, 传送 to pc 以及 攻击
SKILL_20150317_000366	[Leafnut] 物理, Strike, 毒属性 攻击
SKILL_20150317_000367	[Panto] 物理, Strike, 地属性, 攻击 2 次
SKILL_20150317_000368	[Panto] 物理, Strike, 地属性, Continuous 6times 攻击
SKILL_20150317_000369	[Panto] 魔法, Movement Buff, 魔法,
SKILL_20150317_000370	[Panto Warrior] 物理, 斩击, 地属性, 攻击
SKILL_20150317_000371	[Ultanun] 物理 穿刺 毒属性 攻击
SKILL_20150317_000372	[Ultanun] 魔法 毒属性 魔法
SKILL_20150317_000373	[Rubabos] 物理, Strike, 冰 属性 攻击
SKILL_20150317_000374	[Rubabos] 魔法, 魔法, 冰 属性 攻击
SKILL_20150317_000375	[Elite Slime] 物理, Strike, 地属性, 攻击
SKILL_20150317_000376	[Bushspider] 物理, Strike, 无属性, 攻击
SKILL_20150317_000377	[Pokubu] 物理, Strike, 地属性, Head smash
SKILL_20150317_000378	[Mali] 1회 物理, Strike, 毒属性,
SKILL_20150317_000379	[Mallardu] 物理, Strike, 地属性 攻击
SKILL_20150317_000380	[Mallardu] 物理, Strike, 地属性 治疗 wind
SKILL_20150317_000381	[Grummer] 物理, Strike, 毒属性, 攻击
SKILL_20150317_000382	[Hummingbird] 物理, 穿刺, 毒属性 攻击
SKILL_20150317_000383	[Leafly] 物理, 斩击, 雷属性, 攻击
SKILL_20150317_000384	[Desert Chupacabra] Buff, 魔法, Hide HP restoration
SKILL_20150317_000385	[Desert Chupacabra] 物理, Hit, 地属性 攻击
SKILL_20150317_000386	[Chromadog] 物理, Strike, 火属性 攻击
SKILL_20150317_000387	[Seedmia] 物理, Hit, 毒属性, 攻击
SKILL_20150317_000388	[Seedmia] 物理, Hit, 毒属性, 1 范围 攻击
SKILL_20150317_000389	[Glock] 物理, 斩击, 闇属性 攻击
SKILL_20150317_000390	[Glock] 魔法, 魔法, 闇属性 攻击
