ITEM_20150317_000001	空_头盔 
ITEM_20150317_000165	巨型植物灾变后,这种之前广泛使用的剑被当做装饰品或收藏品. 
ITEM_20150317_000166	Hogma大剑 
ITEM_20150317_000167	人们对Hogmas如何获得这种剑不在意.更关心自己制造和使用它们. 
ITEM_20150317_000168	查米尼斯变种剑 
ITEM_20150317_000169	巨型植物灾变后,Winterspoon家族将图谱送给了炼金术师. 
ITEM_20150317_000170	Primaluce 
ITEM_20150317_000171	寻求原始力量的剑客经常剑这把剑作为第一魔法剑. 
ITEM_20150317_000172	Kindzal 
ITEM_20150317_000173	人们喜欢锻造这把剑来提升自己的手艺. 
ITEM_20150317_000174	帝国双手剑 
ITEM_20150317_000175	用这把剑走黑市,那么你已经出道了. 
ITEM_20150317_000176	Prieblanda 
ITEM_20150317_000177	This sword shares the same inventor with the 'Primaluce' sword. 
ITEM_20150317_000178	青德式斗剑 
ITEM_20150317_000179	德式斗剑不足100年,所以这把武器玉Ruklyss无关. 
ITEM_20150317_000180	铁匠双手剑 
ITEM_20150317_000181	自圣树之日起，很少人质疑魔法武器的稳定性. 
ITEM_20150317_000182	克拉维斯双手剑 
ITEM_20150317_000183	指的一展身手的剑. 
ITEM_20150317_000184	Thresh Two-Hand Sword 
ITEM_20150317_000185	Sestas Two-Hand Sword 
ITEM_20150317_000186	诅咒双手剑 
ITEM_20150317_000187	Aston Two-Hand Sword 
ITEM_20150317_000188	女神双手剑 
ITEM_20150317_000189	初级双手剑 
ITEM_20150317_000190	弗拉米尼 
ITEM_20150317_000191	对战恶魔的一把好剑. 
ITEM_20150317_000192	巫师杀手 
ITEM_20150317_000193	初出茅庐的巫师不在意这个特殊武器,但经验丰富的人知道避开无法揣摩的力量. 
ITEM_20150317_000194	双手剑[打击] 
ITEM_20150317_000195	无法预见地打击目标,就如夜空中的一闪. 
ITEM_20150317_000196	Luciduce 
ITEM_20150317_000197	Although some people dismiss this weapon as a 'tree cutting axe', its actual users will tell you that the Great Plant Cataclysm would have resulted in far worse losses without it. 
ITEM_20150317_000198	地狱与天堂 
ITEM_20150317_000199	这把武器印证了"进攻是最好的防御"这句话. 
ITEM_20150317_000200	亡者之牙 
ITEM_20150317_000201	锻造这把武器并不需要死者之牙. 
ITEM_20150317_000202	斩灵双手剑 
ITEM_20150317_000203	时而巨象,时而缥缈. 
ITEM_20150317_000204	Nulis 
ITEM_20150317_000205	对抗夜间的怪异生物有奇效. 
ITEM_20150317_000206	重力(Gravity) 
ITEM_20150317_000207	重力不可避免,无论你是谁或你在哪.然而适应了他,你却无法感知到这种力量(这算金老爷子的感慨么!). 
ITEM_20150317_000208	粗糙的短棒 
ITEM_20150317_000209	魔棒 [打击] 
ITEM_20150317_000210	给迟早要规划学习魔法的人. 
ITEM_20150317_000211	短棒 
ITEM_20150317_000212	当年轻的魔法学徒毕业时赠予的武器. 
ITEM_20150317_000213	初级长棒 
ITEM_20150317_000214	魔导师在武器上的装饰品不仅美观而且功能强大. 
ITEM_20150317_000215	初级漫游手杖 
ITEM_20150317_000216	由一名著名巫师精心雕刻的魔杖，它注定具有神秘的魔力. 
ITEM_20150317_000217	手杖 
ITEM_20150317_000218	只要你提供材料，你就能定制这把手杖. 
ITEM_20150317_000219	克鲁克弯钩(Crook) 
ITEM_20150317_000220	传说邪恶的巫师一开始就是使用的这种武器. 
ITEM_20150317_000221	锡棒 
ITEM_20150317_000222	它一度在雄心勃勃的年轻法师间深受喜爱. 
ITEM_20150317_000223	枭棒 
ITEM_20150317_000224	武器上的装饰品很受资深巫师的喜爱. 
ITEM_20150317_000225	符文棒 
ITEM_20150317_000226	一种神奇的服务器放大了武器的魔力. 
ITEM_20150317_000227	水晶棒 
ITEM_20150317_000228	珍贵的宝石和魔棒完美结合. 
ITEM_20150317_000229	粗超的锡棒 
ITEM_20150317_000230	粗糙的枭棒 
ITEM_20150317_000231	军用短棒 
ITEM_20150317_000232	这把魔棒石为军中法师们准备的.虽然在植物灾变重配方遗失,但是存货依然充足. 
ITEM_20150317_000233	酋长的长棒 
ITEM_20150317_000234	这把魔棒款式曾流行过.虽然是老旧的款式,但依旧优雅得体. 
ITEM_20150317_000235	粗糙的漫游手杖 
ITEM_20150317_000236	战斗魔杖 
ITEM_20150317_000237	除了为施法打造,它也被设计了物理打击能力. 
ITEM_20150317_000238	重型短棒 
ITEM_20150317_000239	长棒 
ITEM_20150317_000240	重型长棒 
ITEM_20150317_000241	漫游手杖 
ITEM_20150317_000242	重型手杖 
ITEM_20150317_000243	重型克鲁克弯钩(CRook) 
ITEM_20150317_000244	重型锡棒 
ITEM_20150317_000245	笨重克鲁克弯钩(Crook) 
ITEM_20150317_000246	笨重水晶棒 
ITEM_20150317_000247	笨重的长棒 
ITEM_20150317_000248	笨重的漫游手杖 
ITEM_20150317_000249	笨重的手杖 
ITEM_20150317_000250	笨重的锡棒 
ITEM_20150317_000251	蛇纹魔棒 
ITEM_20150317_000252	变种魔棒 
ITEM_20150317_000253	娜德魔棒(Nald) 
ITEM_20150317_000254	上古魔棒 
ITEM_20150317_000255	流星蝴蝶棒(Meteor) 
ITEM_20150317_000256	环形魔棒 
ITEM_20150317_000257	侍者魔棒 
ITEM_20150317_000258	哑剧魔棒 
ITEM_20150317_000259	魔法师们已经意识到从植物灾变引发的魔物爆发得到的资料应用到不同情况下. 
ITEM_20150317_000260	冰棒 
ITEM_20150317_000261	谣言说每出售一张这把武器的图谱,Cryomancer大师就能得到分红. 
ITEM_20150317_000262	火焰魔棒 
ITEM_20150317_000263	只有Pyromancer大师知道女神Gabija将力量注入这把武器的方法. 
ITEM_20150317_000264	瓦夏魔棒 
ITEM_20150317_000265	尽管祭司们不满制造中需处理精神这种操作,但巫师们并不在意这种事情. 
ITEM_20150317_000266	魔棒 
ITEM_20150317_000267	入门法师们易操作的简单增魔武器. 
ITEM_20150317_000268	Grinas Rod 
ITEM_20150317_000269	植物灾变后暴增的恶魔太高了这把武器本来不菲的价格. 
ITEM_20150317_000270	Cheminis Rod 
ITEM_20150317_000271	尽管与另一把武器名字相近,但这把武器与Winterspoon家族没有直接关系. 
ITEM_20150317_000272	拱形魔棒 
ITEM_20150317_000273	它是法师领悟高阶魔法的过度武器. 
ITEM_20150317_000274	帝国魔棒 
ITEM_20150317_000275	爱出头的法师们很喜欢的一把武器. 
ITEM_20150317_000276	阿拉斯长棒(Aras) 
ITEM_20150317_000277	这把价格合理的武器通常作为赠送的谢礼. 
ITEM_20150317_000278	铁匠魔棒 
ITEM_20150317_000279	这把武器的特点就是无论谁用都难用. 
ITEM_20150317_000280	可莱丝(Klavis) 
ITEM_20150317_000281	你可能是历史上第一个使用这把武器的法师. 
ITEM_20150317_000282	迪奥之棒 
ITEM_20150317_000283	多重魔棒(Thresh) 
ITEM_20150317_000284	塞斯塔斯魔棒(Sestas) 
ITEM_20150317_000285	诅咒之棒 
ITEM_20150317_000286	阿斯顿之棒 
ITEM_20150317_000287	女神魔棒(Devi) 
ITEM_20150317_000288	初级魔棒 
ITEM_20150317_000289	恐惧(Temere) 
ITEM_20150317_000290	传说这把绰号"学徒杀手"的武器是历史上最伟大巫师Agailla Flurry训练她的学徒们时使用的. 
ITEM_20150317_000291	灼烧(Ignition) 
ITEM_20150317_000292	尽管炎术士全力寻找克服它不稳定缺点的方法，但是目前并没有什么进展. 
ITEM_20150317_000293	禁忌(Secretum) 
ITEM_20150317_000294	巫师专属武器,但巫师们经常忽略了它的缺陷. 
ITEM_20150317_000295	亡者之棒 
ITEM_20150317_000296	具有死者之力的魔棒. 
ITEM_20150317_000297	Chapparition Rod 
ITEM_20150317_000298	灾麻(Zaima) 
ITEM_20150317_000299	谣言说这把武器的高额价格是出于Cryomancer大师的压力. 
ITEM_20150317_000300	史诗(Epos) 
ITEM_20150317_000301	远古时使用顶尖魔法智慧锻造的魔杖.但现在即使最先进的魔法也无法重铸这把魔杖. 
ITEM_20150317_000302	闪耀魔棒 
ITEM_20150317_000303	你总能看到一颗闪烁的星星. 
ITEM_20150317_000304	Empty_weapon_THBow 
ITEM_20150317_000305	粗糙的轻弓 
ITEM_20150317_000306	弓 [穿刺] 
ITEM_20150317_000307	在小作坊里简易制作的. 
ITEM_20150317_000308	轻弓 
ITEM_20150317_000309	帝国领土内广泛制作的弓. 
ITEM_20150317_000310	初级短弓 
ITEM_20150317_000311	专供初学者,但老道的弓手也喜欢继续带着它. 
ITEM_20150317_000312	粗糙的长弓 
ITEM_20150317_000313	距离决定生死.如果你想要更长的击杀这把弓是不错的选择. 
ITEM_20150317_000314	复合弓 
ITEM_20150317_000315	用各种原料改善后极具灵活性的弓. 
ITEM_20150317_000316	随身弓 
ITEM_20150317_000317	弓手坚定决心的象征. 
ITEM_20150317_000318	Rokas Bow 
ITEM_20150317_000319	大概是其制造地命名的. 
ITEM_20150317_000320	角弓(Gorithos) 
ITEM_20150317_000321	弓骑兵的首选. 
ITEM_20150317_000322	Gulyle 
ITEM_20150317_000323	第一把应用魔法的弓,自此之后这把武器有了一席之地. 
ITEM_20150317_000324	卡尔曼弓(Karman) 
ITEM_20150317_000325	在对手臂力量充满自信的弓手手里发挥了更大的威力. 
ITEM_20150317_000326	粗糙的 Rokas Bow 
ITEM_20150317_000327	粗糙的角弓(Gorithos) 
ITEM_20150317_000328	军用轻弓 
ITEM_20150317_000329	迎合军队最低要求的弓. 
ITEM_20150317_000330	市长短弓 
ITEM_20150317_000331	尽管这把武器年久,但能看出每日更换弓弦使它保养得很好. 
ITEM_20150317_000332	粗糙的长弓 
ITEM_20150317_000333	Gendawa 
ITEM_20150317_000334	不使用魔法锻造出的最好弓. 
ITEM_20150317_000335	重型轻弓 
ITEM_20150317_000336	短弓 
ITEM_20150317_000337	重型短弓 
ITEM_20150317_000338	长弓 
ITEM_20150317_000339	重型复合弓 
ITEM_20150317_000340	重型随身弓 
ITEM_20150317_000341	重型 Rokas Bow 
ITEM_20150317_000342	笨重的随身弓 
ITEM_20150317_000343	笨重的卡尔曼弓 
ITEM_20150317_000344	笨重的短弓 
ITEM_20150317_000345	笨重的长弓 
ITEM_20150317_000346	笨重的复合弓 
ITEM_20150317_000347	笨重的 Rokas Bow 
ITEM_20150317_000348	曲弓
ITEM_20150317_000349	Seige Bow 
ITEM_20150317_000350	狙击手之弓 
ITEM_20150317_000351	骨弓 
ITEM_20150317_000352	木质复合弓 
ITEM_20150317_000353	装饰弓(Tag) 
ITEM_20150317_000354	欺诈之弓(Rogue) 
ITEM_20150317_000355	探索者(Seeker) 
ITEM_20150317_000356	自巨植灾变后这把在猎人间很流行. 
ITEM_20150317_000357	铁弓 
ITEM_20150317_000358	良好的精度经常能造成意想不到的伤害. 
ITEM_20150317_000359	鹰弓(Hawk) 
ITEM_20150317_000360	这把随身弓有事真对不起它的价格. 
ITEM_20150317_000361	查米尼斯之弓(Cheminis) 
ITEM_20150317_000362	由能增强使用者的敏捷性而来. 
ITEM_20150317_000363	猎弓 
ITEM_20150317_000364	这把大势弓之前是由炼金术师掌握的锻造技术打造的. 
ITEM_20150317_000365	造物之弓(Maker) 
ITEM_20150317_000366	过去只有富有的猎人才买得起的弓.然而近年来发生的灾变后,谁还能承担得起采购和锻造它. 
ITEM_20150317_000367	蛮弓(Savage) 
ITEM_20150317_000368	由于巨植灾变后对高质量弓需求的剧增,这把弓被频繁制作. 
ITEM_20150317_000369	蛇弓(Snake) 
ITEM_20150317_000370	这把弓无视你肌肉的力量.有力量它更有威力,没力量它补偿威力. 
ITEM_20150317_000371	帝国之弓 
ITEM_20150317_000372	弓如其名,它与毒攻相关. 
ITEM_20150317_000373	Lethena Bow 
ITEM_20150317_000374	坚实的重量给与你狩猎大怪物的感官. 
ITEM_20150317_000375	强攻 
ITEM_20150317_000376	难制造,但值得. 
ITEM_20150317_000377	阿拉斯短弓(Aras） 
ITEM_20150317_000378	第一次购买魔法弓的首选. 
ITEM_20150317_000379	滑弓(Pully) 
ITEM_20150317_000380	铁匠之弓(Smith) 
ITEM_20150317_000381	如果没有其他弓可以购买,可以先买着这把弓再观望. 
ITEM_20150317_000382	克拉维斯之弓(Klavis) 
ITEM_20150317_000383	除去常规魔法弓之用,会有意料之外的作用. 
ITEM_20150317_000384	迪奥之弓(Dio) 
ITEM_20150317_000385	Tresh Bow 
ITEM_20150317_000386	Sestas Bow 
ITEM_20150317_000387	诅咒之弓 
ITEM_20150317_000388	阿斯顿之弓(Aston) 
ITEM_20150317_000389	女神之弓(Devi) 
ITEM_20150317_000390	初级弓 
ITEM_20150317_000391	野蛮屠戮(Wildling Bane) 
ITEM_20150317_000392	猎人们在巨植灾变之前很少使用它. 感觉很奇怪,但这把弓会残害猎物. 
ITEM_20150317_000393	平衡(Equalizer) 
ITEM_20150317_000394	自豪的弓手不希望任何变量影响它们的力量,这把弓既是首选. 
ITEM_20150317_000395	猎心(Heart Seeker) 
ITEM_20150317_000396	这把弓会不明缘由地对目标和自身释放诅咒.然而弓手们还是因其有点而使用它. 
ITEM_20150317_000397	蝰蛇(Viper) 
ITEM_20150317_000398	这把弓太毒以至于会折磨它的使用者. 
ITEM_20150317_000399	亡者之弓 
ITEM_20150317_000400	带他们去见死神. 
ITEM_20150317_000401	Chapparition Bow 
ITEM_20150317_000402	如雕刻家所说: '站直挺胸;拉弓射箭.' 
ITEM_20150317_000403	嗜血(Blood Gain) 
ITEM_20150317_000404	这把弓由 Lydia Schaffen创造. 她一生经常使用此弓,但却没有把锻造方式告诉她自己创造的'The Tower of the Stars' 和 'Schaffenstar'造体. 
ITEM_20150317_000405	暴风枪(Tempest Shooter) 
ITEM_20150317_000406	联合了众多大师开发和锻造的一把新弓.它是客服巨植灾变的希望. 
ITEM_20150317_000407	Empty_weapon_Bow 
ITEM_20150317_000408	低端的轻十字弓 
ITEM_20150317_000409	十字弓 [穿刺] 
ITEM_20150317_000410	强力攻击时空出一只手更实用. 
ITEM_20150317_000411	低端十字弓 
ITEM_20150317_000412	现代弩使用了许多不同材料,主要是怪物哒. 
ITEM_20150317_000413	Dokyu 
ITEM_20150317_000414	换箭重装流畅并迅速的弓. 
ITEM_20150317_000415	菱型弓(Quarrel) 
ITEM_20150317_000416	菱型十字弓大师用它来教学. 
ITEM_20150317_000417	橡木十字弓 
ITEM_20150317_000418	虽然巨植灾变之后橡木很难找,但这把弓不难制作. 
ITEM_20150317_000419	封印十字弓 
ITEM_20150317_000420	可能由受到诅咒的怪兽骨头为材料制作，这把弓经常能打出封印效果. 
ITEM_20150317_000421	石弩 
ITEM_20150317_000422	有适应单人攻城武器研究的悠久历史. 这把弓是巅峰时期的产物. 
ITEM_20150317_000423	自动十字弓(Cranequine) 
ITEM_20150317_000424	这把武器适合初学者.但老手能更好地从这把武器上获利. 
ITEM_20150317_000425	粗糙的橡木十字弓 
ITEM_20150317_000426	粗糙的封印十字弓 
ITEM_20150317_000427	狙击手之弓 
ITEM_20150317_000428	一把强大的十字弓,在刺客Evoniphon手里出的名. 
ITEM_20150317_000429	轻型十字弓 
ITEM_20150317_000430	重轻型十字弓 
ITEM_20150317_000431	十字弓 
ITEM_20150317_000432	重型的 Dokyu 
ITEM_20150317_000433	重型的 菱型弓 
ITEM_20150317_000434	重型的 橡木十字弓 
ITEM_20150317_000435	笨重的 菱型弓 
ITEM_20150317_000436	笨重的 自动十字弓 
ITEM_20150317_000437	笨重的 十字弓 
ITEM_20150317_000438	笨重的 Dokyu 
ITEM_20150317_000439	笨重的 橡木十字弓
ITEM_20150317_000440	劲弩(Arbalest) 
ITEM_20150317_000441	费迪南精弓(Fedimian Turret) 
ITEM_20150317_000442	步枪 
ITEM_20150317_000443	黑尖弓 
ITEM_20150317_000444	尖十字弓(Spike) 
ITEM_20150317_000445	风空(Windless) 
ITEM_20150317_000446	重型的 十字弓 
ITEM_20150317_000447	看似很重的弓,拿起来使用就感到必须有个法术加持才如虎添翼. 
ITEM_20150317_000448	宽弓 
ITEM_20150317_000449	精确打击会造成致命的杀伤. 
ITEM_20150317_000450	大十字弓 
ITEM_20150317_000451	高质量和低缺陷让他在弓手间很受欢迎. 
ITEM_20150317_000452	查米妮斯十字弓(Cheminis) 
ITEM_20150317_000453	自巨植灾变后这把炼金术师之弓需求量很大. 
ITEM_20150317_000454	梅迪娜十字弓(Medina) 
ITEM_20150317_000455	这把武器专门对付装备精良的敌人. 
ITEM_20150317_000456	女王之弓(Regina) 
ITEM_20150317_000457	"上帝之弓"不够格,但 "女王"之名很恰当. 
ITEM_20150317_000458	驱逐者 
ITEM_20150317_000459	经常在低能见度和大风的天气下使用. 
ITEM_20150317_000460	帝国十字弓 
ITEM_20150317_000461	谣言说这把弓就是故意打造成维护价格高的样式. 
ITEM_20150317_000462	Grave Crossbow 
ITEM_20150317_000463	This weapon is recommended if you intend to permanently put the target to sleep. 
ITEM_20150317_000464	铁匠十字弓 
ITEM_20150317_000465	每次扣动扳机都期望他能打出预想的伤害. 
ITEM_20150317_000466	克拉维斯十字弓(Klavis) 
ITEM_20150317_000467	你可能是第一个描绘出这把弓潜能的人. 
ITEM_20150317_000468	Tresh Crossbow 
ITEM_20150317_000469	Sestas Crossbow 
ITEM_20150317_000470	诅咒之十字弓 
ITEM_20150317_000471	阿斯顿之十字弓(Aston) 
ITEM_20150317_000472	女神之十字弓(Devi) 
ITEM_20150317_000473	初级十字弓 
ITEM_20150317_000474	奔星 
ITEM_20150317_000475	只有在'星辰塔'完成试炼的人才能使用这把武器. 
ITEM_20150317_000476	卡延之怒(Katyn Blaster) 
ITEM_20150317_000477	巨植灾变后导师根据卡延森林中的怪物研制了这把弓. 然而他不推荐人们使用它. 
ITEM_20150317_000478	月光之力(Grajus) 
ITEM_20150317_000479	用单手十字弓就能射杀巨兽么？这把弓就是答案. 
ITEM_20150317_000480	亡者之弓 
ITEM_20150317_000481	并不是一把亡者的武器. 只是原主人是一位可怜的遇难者. 
ITEM_20150317_000482	Chapparition Shooter 
ITEM_20150317_000483	这把武器会给野兽足够的痛苦. 
ITEM_20150317_000484	伊巴厘缇(Isbality) 
ITEM_20150317_000485	Lydia Schaffen是历史上最伟大的弓手, 一生都在用它追杀恶魔. 因Schaffenstar未公开图纸使这把弓很难获得. 
ITEM_20150317_000486	逝(Morto) 
ITEM_20150317_000487	当Evoniphon被Fiona Ieva追捕时扔掉了这把武器,这把武器才被大众所知 . 然而许多只依靠这把武器的愚蠢猎人最终成了祭奠品. 
ITEM_20150317_000488	Empty_weapon_锤 
ITEM_20150317_000489	粗糙的木锤 
ITEM_20150317_000490	单手钝器 [打击] 
ITEM_20150317_000491	易用的简易武器. 
ITEM_20150317_000492	木锤
ITEM_20150317_000493	即使牧师挥舞一把木质的武器也会变得神圣. 
ITEM_20150317_000494	笨重的 铁锤 
ITEM_20150317_000495	女神的惩罚要用这把武器才显得郑重. 
ITEM_20150317_000496	低端的 锤 
ITEM_20150317_000497	当你不再是见习牧师时,这把武器是最低配置. 
ITEM_20150317_000498	晨星 
