QUEST_LV_0200_20150317_000001	Philip's soldiers
QUEST_LV_0200_20150317_000043	What is this dirty object? Oh, could a ring be inside?
QUEST_LV_0200_20150317_000044	A knife won't fit inside and there's no other method of removing it.{nl}Right! Can't we burn it to retrieve what's inside?
QUEST_LV_0200_20150317_000045	As long as that's the case, bring me one that's not thick.
QUEST_LV_0200_20150317_000046	This should be just right.{nl}Good. Now, how do I burn this while working and not get caught.
QUEST_LV_0200_20150317_000047	There should be plenty of trees with dry thorns located at the edge of Ishisineti Cliff. {nl} I can't leave this place due to work regarding the border so I ask of you again.
QUEST_LV_0200_20150317_000048	Ah, you should be able to burn it secretly at the top of Ishisineti Cliff. {nl} This is my last request. You just need to make preparations for the fire.
QUEST_LV_0200_20150317_000049	I will never again care for another's wedding ceremony.
QUEST_LV_0200_20150317_000050	Let's say we're going to the bathroom and burn it secretly.{nl}Thank you very much.
QUEST_LV_0200_20150317_000051	Soldier Poulter
QUEST_LV_0200_20150317_000052	My goodness, the order states to eliminate all of the monsters in this area!{nl}How am I supposed to handle this many enemies all by myself?
QUEST_LV_0200_20150317_000053	It was too overwhelming to carry out the task just by myself.{nl}However, I'm really fortunate since you decided to help me.
QUEST_LV_0200_20150317_000054	I almost cried my eyes out!{nl}Thank you very much for your help.
QUEST_LV_0200_20150317_000055	Commander Julian
QUEST_LV_0200_20150317_000056	Thanks for the help! {nl} If it's okay, I'd like to borrow some more of your strength.{nl}
QUEST_LV_0200_20150317_000057	Won't you support Commander O'Rourke's unit at the Veltui Crossroad?
QUEST_LV_0200_20150317_000058	Commander O'Rourke
QUEST_LV_0200_20150317_000059	Very impressive.{nl}Looks like I'll have to buy Julian a drink.
QUEST_LV_0200_20150317_000060	It occurred to me while watching Ironbaum. {nl} What an exceptional person that is.
QUEST_LV_0200_20150317_000061	The O'Rourke's unit is exhausted through big and small battles with Ironbaum.{nl}It would be very reassuring if you could become our strength.
QUEST_LV_0200_20150317_000062	Substitute Owl Statue
QUEST_LV_0200_20150317_000063	
QUEST_LV_0200_20150317_000064	It would be nice if more people come and go, using this road, like before.{nl}It's because people are very interesting.
QUEST_LV_0200_20150317_000065	Thank you. I guess I'm giving you needless trouble all because of my aspiration.
QUEST_LV_0200_20150317_000066	Fine. We haven't received any word from our forces at Niurus Highway.{nl}I request their search.
QUEST_LV_0200_20150317_000067	If you can't find them, come back to us.
QUEST_LV_0200_20150317_000068	Soldier Carlos
QUEST_LV_0200_20150317_000069	There are still a number of our colleagues on the inside.{nl}Please help us.
QUEST_LV_0200_20150317_000070	Soldier Daniels
QUEST_LV_0200_20150317_000071	Ironbaum attacked us at the Drieza Waterland.{nl}There are still soldiers that have not yet escaped.{nl}
QUEST_LV_0200_20150317_000072	I'm embarrassed to have escaped by myself.{nl}
QUEST_LV_0200_20150317_000073	Settled Owl Statue
QUEST_LV_0200_20150317_000074	I have something to ask you.{nl}I'm so worried about the soldiers suffering pain due to Ravine Lerva.
QUEST_LV_0200_20150317_000075	Thank you.{nl}From now on, can our soldiers work comfortably?
QUEST_LV_0200_20150317_000076	I appreciate your kind help.{nl}Later, I will return the favor when I meet you with a form of soul.
QUEST_LV_0200_20150317_000077	Are you the famous Revelator?{nl}Good, I'm puzzled with something. I need your help.
QUEST_LV_0200_20150317_000078	Ah, now I've received the order.{nl}Return to Commander Julian.
QUEST_LV_0200_20150317_000079	I'm collecting information about Ironbaum.{nl}In order to pass through the 君王之门, the first thing is to defeat this monster.
QUEST_LV_0200_20150317_000080	Thank you.{nl}Come back after taking this order to Paulter on the Zaizda Hill.
QUEST_LV_0200_20150317_000081	Give me the good old times.{nl}There are no thorns.
QUEST_LV_0200_20150317_000082	If the path of 君王之门 is safe then I will be able to see more people.{nl}
QUEST_LV_0200_20150317_000083	All this time, I've seen a lot.{nl}Now, I want only joy to be seen.
QUEST_LV_0200_20150317_000084	Why does the human's soul contain so many things?
QUEST_LV_0200_20150317_000085	If we meet the monsters, we'll have no choice but to fight.
QUEST_LV_0200_20150317_000086	We're working to pass through the 君王之门.{nl}Have you heard the news about Ironbaum?
QUEST_LV_0200_20150317_000087	In order to be a leader of a group, you need unperturbed principles.
QUEST_LV_0200_20150317_000088	It's true that trying to pass the 君王之门 is reckless.{nl}However, we can't disobey the order.
QUEST_LV_0200_20150317_000089	It may seem bad at first, but the two leaders have a surprisingly good relationship.
QUEST_LV_0200_20150317_000090	I feel so lonely as no one is here.{nl}It's been a long time since I met some new faces.
QUEST_LV_0200_20150317_000091	What do you want to do here in this empty forest? No way, the way is available?
QUEST_LV_0200_20150317_000092	Thank you.{nl}The soldiers and my colleagues will be able to sleep comfortably.
QUEST_LV_0200_20150317_000093	I can not feel my arms and legs.{nl}I feel so strange even though It's not cold.
QUEST_LV_0200_20150317_000094	We must defeat the Gaigalas.{nl}Otherwise, I won't be able to sleep in peace.
QUEST_LV_0200_20150317_000095	We will start the hunt for Gaigalas soon.{nl}I'm so excited.
QUEST_LV_0200_20150317_000096	Like the grudge is so sad.{nl}It's sad that we can't do anything either.
QUEST_LV_0200_20150317_000097	The sacrifice will continue unless someone stops the demons.
QUEST_LV_0200_20150317_000098	Joint Investigation Team Fray
QUEST_LV_0200_20150317_000099	I'm Fray.{nl}Listening to the story, the situation sounds bad.{nl}If the information you and Scott researched is correct.
QUEST_LV_0200_20150317_000100	{nl}Then, I will have to do something.[nl}Please defeat some Red Vubbes first. They have been bothering me lately.
QUEST_LV_0200_20150317_000101	Please, I ask of you. .{nl}I get sick just looking at the red color.
QUEST_LV_0200_20150317_000102	Oh, did you really defeat them for me?{nl}Thank you!
QUEST_LV_0200_20150317_000103	I got something after talking with Scott.{nl}There are Woodman kind of a moving tree sculpture.{nl}Is it somehow related with the bark of a tree that the Vubbes got?
QUEST_LV_0200_20150317_000104	By the way, there is still no news form Scott about a second report.{nl}I wonder what happened to our cute Scott? Hmm..
QUEST_LV_0200_20150317_000105	Wow, great!{nl}I owe you one. Thank you!
QUEST_LV_0200_20150317_000106	Right? So I will ask you.{nl}Woodman are appearing on the Deer Hoot Site along with the left side of the path.
QUEST_LV_0200_20150317_000107	I will take this combined result of the information Scott gave me and this fragment to my superior. {nl}By the way, There is still no news from Scott. Even the time Scott promised has long since passed. Just using the hearsay is not enough for the other investigator?{nl}
QUEST_LV_0200_20150317_000108	Could you pick up the report from Scott?{nl}Do not forget to scold him for skipping work!
QUEST_LV_0200_20150317_000109	Please handle Scott's report. Okay?{nl}Sometimes, he is stupid, but he is also cute.
QUEST_LV_0200_20150317_000110	I have no face. Nowadays, I have been investigating everywhere to find something..{nl}Thanks a lot. If you are not..{nl}Ah, I don't want to think about it.{nl}
QUEST_LV_0200_20150317_000111	Oops, It's time for this.{nl}I'm sorry, Please give it to Fray instead of me.{nl}I don't know where to start to clean the mess that Vubbes did..
QUEST_LV_0200_20150317_000112	Ah, it is the report! {nl}Good, and what was Scott doing?{nl}
QUEST_LV_0200_20150317_000113	Really? He couldn't handle a single Vubbe and got in trouble instead.{nl}Such a shame..I will scold him later!
QUEST_LV_0200_20150317_000114	Everything is messy. {nl}I can not concentrate as the Vubbes.{nl}He must laugh, If he look at it?
QUEST_LV_0200_20150317_000115	Joint Investigation Team Fray
QUEST_LV_0200_20150317_000116	It is still in progress to find the truth of the events.{nl}Take it. It's a soul collection scroll.{nl}
QUEST_LV_0200_20150317_000117	Once you defeat the Red Vubbe using this scroll, the soul of Vubbe should be out?{nl}I'll have you collect it for me. Then, the data are almost done.
QUEST_LV_0200_20150317_000118	Do not forget the order.{nl}You have to defeat the Red Vubbes after using the soul collection scroll on them. Alright?
QUEST_LV_0200_20150317_000119	About the bark of a tree that the Vubbe got.{nl}I think I can combine it using something like a spirit..{nl}Well, Please tell this news to Ukirt.
QUEST_LV_0200_20150317_000120	Joint Investigation Team Ukirt
QUEST_LV_0200_20150317_000121	Scott and Fray did a good job. What do you think of it?{nl}I don't think so that Vubbe can't create themself.{nl}I will have to check what they do using this.{nl}
QUEST_LV_0200_20150317_000122	There may be something inside the supply boxes that the soldiers left a long time ago.{nl}You will find some old supply boxes up there.{nl}Can you go there and check? If we obtain some clues there, we may get an answer.
QUEST_LV_0200_20150317_000123	If you go back the way you just came, you will see an observatory tower on the hills.{nl}I hope the monsters haven't touch it yet..
QUEST_LV_0200_20150317_000124	Are they really planning something?{nl}Something.. is suspicious..
QUEST_LV_0200_20150317_000125	The Vubbes broke the supply boxes and ran away with this?{nl}Why? Were they really making it?{nl}No way, they aren't smart enough to do that.{nl}
QUEST_LV_0200_20150317_000126	Good! We should pay attention and solve the problem!
QUEST_LV_0200_20150317_000127	Okay. Are you ready?{nl}
QUEST_LV_0200_20150317_000128	Before you came, I saw Vubbes moving in groups.{nl}Go to Gebene Cliffs and see how the situation is.
QUEST_LV_0200_20150317_000129	The Vubbes were always involved with anything that happened here.{nl}It can't be a just coincedence..
QUEST_LV_0200_20150317_000130	I think.. I understand now. {nl}I think that was like a big factory creating huge monsters called Woodspirits.{nl}
QUEST_LV_0200_20150317_000131	The flag of Vubbes must have called in the ghosts.{nl}Then they polluted the trees and created huge monsters.{nl}
QUEST_LV_0200_20150317_000132	That tree barks must have been the ingredients for making Woodspirits.{nl}There's no way those Vubbes could do it alone.{nl}They must have received an order from somebody!
QUEST_LV_0200_20150317_000133	We may find some decisive evidences at the place where the Vubbes are grouped together.{nl}If Prey sees this, it will like it!
QUEST_LV_0200_20150317_000134	Vubbes are not very smart so he must have made only simple orders.{nl}How could he think about controlling those Vubbes..{nl}I don't know what to say. {nl}
QUEST_LV_0200_20150317_000135	I am sure that Woodspirits are created from various places.{nl}I can sense vicious energies coming. {nl}We should first destroy the flags that are creating Woodspirits!
QUEST_LV_0200_20150317_000136	Leave as soon as you are ready. {nl}The best course of action for now is to stop the creation of Woodspirits..
QUEST_LV_0200_20150317_000137	I think we've done our best for now. {nl}Since we can't do anything about the ones that were already created.
QUEST_LV_0200_20150317_000138	I can feel the closest flag from here is near Gatves Highway.{nl}The huge trees that people saw is probably Woodspirits.{nl}How could I miss this simple thing.
QUEST_LV_0200_20150317_000139	Earnest Commander Owl Sculpture
QUEST_LV_0200_20150317_000140	Thank you so much. {nl}The other owls must have gained confidence because of you.
QUEST_LV_0200_20150317_000141	Weak Owl Sculpture
QUEST_LV_0200_20150317_000142	It is already too late.{nl}The goddess is too harsh.
QUEST_LV_0200_20150317_000143	I have a last request. {nl}Can you burn the owls so they could rest in peace?
QUEST_LV_0200_20150317_000144	Do you think our colleagues would reach Goddess Ausrine safely?
QUEST_LV_0200_20150317_000145	Thank you so much. {nl}First bring me the oil box that is on the way to Neuoder Fields.
QUEST_LV_0200_20150317_000146	If you are okay, I want to get help from you some more.{nl}I've sent the messenger, but due to the last attack, I am now worried.{nl}
QUEST_LV_0200_20150317_000147	The messenger should be safe... but I am still worried.
QUEST_LV_0200_20150317_000148	Thank you so much.{nl}It must be there by now.
QUEST_LV_0200_20150317_000149	The squad was dispatched to retrieve 卡丁森林 from the monsters.{nl}Here, the entrance to 卡丁森林 is safe compared to other areas. The other areas are still to be recovered.{nl}
QUEST_LV_0200_20150317_000150	As you go deep inside, the number of soldiers is lacking along with the supplies.{nl}If a well known person like you help them, it will be a great help.{nl}
QUEST_LV_0200_20150317_000151	The fallen messenger
QUEST_LV_0200_20150317_000152	It is my fault that I didn't care that much after hearing that the forest was stabilized.{nl}I will go back to the camp after taking a short rest.
QUEST_LV_0200_20150317_000153	Ah, this is my bag.. thank you for saving me.{nl}
QUEST_LV_0200_20150317_000154	The only one who can help me right now is you.{nl}Can you tell Felix that the operation at Peljeda has started?{nl}{nl}
QUEST_LV_0200_20150317_000155	There are many strange things that can't be seen in other forests in 卡丁森林.{nl}Such as the owl sculptures that are carved with woods.
QUEST_LV_0200_20150317_000156	Operation? What an ignorant messenger.{nl}I can get it from the camp.. anyways thanks.{nl}
QUEST_LV_0200_20150317_000157	Ah, the way back is dark outside so it will be appreciated if you could light up the fireplace again.
QUEST_LV_0200_20150317_000158	You can't see much sunlight at 卡丁森林 due to the enormous amount of tress.{nl}It seems like ghosts would come out.
QUEST_LV_0200_20150317_000159	Okay, so the messenger is safe?{nl}This place has been taken care of well thanks to you.
QUEST_LV_0200_20150317_000160	I shall take some rest here.{nl}Is there any good place to hide?
QUEST_LV_0200_20150317_000161	Saltistter has come down this deep, I should scold the person who is in charge of guarding here.{nl}Thanks anyways. You sure live up to your reputation.{nl}
QUEST_LV_0200_20150317_000162	Guard Rail
QUEST_LV_0200_20150317_000163	I lost many colleagues through the Stone Frosts.{nl}I don't understand why I am here to support a newbie Chronomancer... so inefficient.{nl}On top of that, we don't know when those violent monsters would attack here.
QUEST_LV_0200_20150317_000164	If you are okay, can you get rid of the monsters while we are protecting here?
QUEST_LV_0200_20150317_000165	It is very unfortunate that we should take care of that woman this time.
QUEST_LV_0200_20150317_000166	Thanks. We can stay safe here for some time.
QUEST_LV_0200_20150317_000167	 A few weeks ago, our comrades were attacked while sleeping by Stone Frosts.{nl}After the world turned out like this, we haven't gotten much support and have to wait here.{nl}The monsters are attaking the petrified victims at the moment. May the curse lay upon those monsters!
QUEST_LV_0200_20150317_000168	If there are comrades out there who still remain in stones, can you stay near them and protect them for a while?
QUEST_LV_0200_20150317_000169	My old friend, Galen is one of the victims.{nl}Please protect him.
QUEST_LV_0200_20150317_000170	Thank you so much. I hope the reinforcement comes soon so he could return to his family even if he is petrified.
QUEST_LV_0200_20150317_000171	There are many cursed documents and uncleaned objects on Ruklys Street.{nl}There are also many thieves who are after those.{nl}And among them, Dico Thieves frequently attack the guards.
QUEST_LV_0200_20150317_000172	Can you defeat them at the military district?{nl}If you could defeat them, we will go and capture them.
QUEST_LV_0200_20150317_000173	The one who was caught last time told us that the stone statues were talking to him.{nl}Do you think that makes sense?
QUEST_LV_0200_20150317_000174	I was able to arrest lots of thieves because of your help.{nl}Thank you.
QUEST_LV_0200_20150317_000175	Guard Nomabis
QUEST_LV_0200_20150317_000176	A few days ago, we lost our supplies to Dico Thieves.{nl}They must have taken them to Drasa Worship Ruins, but since I can't leave this place, I guess we all gonna die.
QUEST_LV_0200_20150317_000177	Can you retrieve the lost supplies?
QUEST_LV_0200_20150317_000178	A few decades ago, the thieves attacked the guard camp and stole the supplies secretly.
QUEST_LV_0200_20150317_000179	They lured us in front of them and stole the objects from behind so there was no way we could prevent them from stealing.{nl}They wanted to take the objects legally so they were sent to gallows.
QUEST_LV_0200_20150317_000180	The number of Dico Thieves is growing.{nl}They are very close to monsters. I don't know if they train those monsters or if there is something that I don't know yet.{nl}I heard Kalis Knightage was attacked by them.{nl}Maybe they are going after Sabina. She carries only expensive stuff.
QUEST_LV_0200_20150317_000181	To avoid any kind of danger, we should first attack before they move.{nl}Go to Drasa Worship Ruins and defeat them.
QUEST_LV_0200_20150317_000182	The city that collapsed hundreds of years ago does not have any assets or lives to protect.{nl}It rather feels like protecting ruins. There are thieves as well.
QUEST_LV_0200_20150317_000183	You taught them a lesson. Well done.
QUEST_LV_0200_20150317_000184	A few weeks ago, the colleagues who used to work here received damage by Stone Frosts and became stone statues at the square. {nl}The reason why the colleagues received damage was because they were engaged in eliminating traps that the thieves had set, but could not avoid them.{nl}There are still many traps around. We recently found one of them. Can you get rid of it?
QUEST_LV_0200_20150317_000185	The number of Dico Thieves may be more than the number of guards.
QUEST_LV_0200_20150317_000186	You caught monsters outside the thieves' area. I am sorry that you had to go through such a dangerous job.
QUEST_LV_0200_20150317_000187	Chronomancer Sabina
QUEST_LV_0200_20150317_000188	Lots of things happend here, but since they occured long time ago, we need more information in order to find out the truth.{nl}Can you find the records from the 关门路 that was fallen down and make copies of them?
QUEST_LV_0200_20150317_000189	Everything is being destroyed as time passes by.
QUEST_LV_0200_20150317_000190	Thank you. This is about the collapse of the fortress.{nl}I should look more into it to find more decisive information.
QUEST_LV_0200_20150317_000191	I am doing many investigations here, but I am having a hard time discovering an incident that occured more in the past due to those monsters.{nl}Can you go and look into the past on behalf of me?
QUEST_LV_0200_20150317_000192	Use the magnifying glass of time near Pergele Roads. Then you would be able see the past.
QUEST_LV_0200_20150317_000193	Please use it with extreme care. This is the only one left.
QUEST_LV_0200_20150317_000194	What the hell happened? Do not say anything about what you've seen here outside.
QUEST_LV_0200_20150317_000195	To understand better about the circumstances, we have no way but to go to the Fortress of the Earth which is the headquarter of Ruklys.{nl}But, we can't enter since the kingdom soldiers are limiting the entrance.{nl}I have a good solution though..
QUEST_LV_0200_20150317_000196	The portal that was used by the remnants when they tried to run away from the Fortress of the Earth.{nl}There are total ten of them according to the record.{nl}Four of them are here. Can you check if they are still activated?
QUEST_LV_0200_20150317_000197	Because of our plan, we may be sent to the gallows.{nl}Please keep it a secret.
QUEST_LV_0200_20150317_000198	The portal at the military district is our only hope.
QUEST_LV_0200_20150317_000199	Hunter Talus
QUEST_LV_0200_20150317_000200	I am looking for a few traces of Lydia Schaffen who built the Tower of Stars.{nl}The famous archer who shot Ruklys' chest.
QUEST_LV_0200_20150317_000201	The Kingdom soldier, Retia
QUEST_LV_0200_20150317_000202	Because of the petrified frosts that were created due to Ruklys' rebellion a few hundreds years ago, the land turned into a wasteland.
QUEST_LV_0200_20150317_000203	We will allow you to enter since Kalis Knightage requested us to do so, but please stay where our gaze remains.
QUEST_LV_0200_20150317_000204	After the Medis Diena 4 years ago, Benas was appointed as the chief commander for the forces here.{nl}He ordered to take good care of the road leading to the Fortress of the Earth.
QUEST_LV_0200_20150317_000205	If you are not in a hurry, please defeat the monsters in area A.{nl}That will be the first step for you to contribute to the Goddess and the Kingdom..{nl}Of course, I will promise you enough rewards.
QUEST_LV_0200_20150317_000206	The commander of the rebel force, Ruklys, and the citizens here engaged in an evil conduct{nl}despite the selections from the great merchant, Premier Eminent. The result is this place.
QUEST_LV_0200_20150317_000207	
QUEST_LV_0200_20150317_000208	After the Day of Divine Tree, the Stone Frosts are occuring irregularly.{nl}Due to irregular Stone Frosts, we lost many of our soldiers on this wasteland.{nl}And we set the petrification devices limitedly here at the square of lamentation and we check the frequency of the frosts and move out the soldiers accordingly.
QUEST_LV_0200_20150317_000209	Check the petrification devices if you want to bo loyal to the Kingdom and receive it's determination.
QUEST_LV_0200_20150317_000210	There are monsters who try to go after the soldiers who maintain the devices. Be careful.
QUEST_LV_0200_20150317_000211	The Stone Frosts are to be driven away from the two places.{nl}I heard you are a quite famous Revelator. {nl}Aren't you?
QUEST_LV_0200_20150317_000212	Starting from a few months ago, the monsters who attacked the soldiers who maintain the devices have appeared.{nl}The soldiers who were able to survive told us that it was a gigantic bird.{nl}When we looked at the illustruated records of the Kingdom, it looked a lot like a Sparnashorn.
QUEST_LV_0200_20150317_000213	If you are the Revelator, you will have no problem fighting against it.{nl}But, not here in area A. The exhausted soldiers may get involved in it.
QUEST_LV_0200_20150317_000214	Use this absorption scroll to temporarily get rid of the Stone Frosts that're starting to form in area A. {nl}The Sparnashorn will then appear from the Stone Frosts in area B.
QUEST_LV_0200_20150317_000215	These guards had their lives threatened by the Sparnashorn and Stone Frosts. {nl}They are blinded by fear so they don't stand a chance fighting against it.
QUEST_LV_0200_20150317_000216	The Stone Frosts are gone temporarily. {nl}There is no way we can stop the punishments Ruklys will bring no matter what we do.
QUEST_LV_0200_20150317_000217	Are you ready? It's time to defeat the Sparnashorn. {nl}But we don't have enough time. No matter how great a Revelator you are, if you are exposed to the Stone Frost, then that will be the end. {nl}Go to area B. The Sparnashorn will come attacking if you touch the detector. {nl}Defeat it and get out of there before the Stone Frost starts.
QUEST_LV_0200_20150317_000218	Running to evade it is also a good way. {nl}But you can't keep doing that for long. {nl}This has to be stopped when there's a great and loyal volunteer like you.
QUEST_LV_0200_20150317_000219	Hearing that it was defeated is the most hopeful story I've heard in years. {nl}Now I better let the troops rest first and tell them the good news.
QUEST_LV_0200_20150317_000220	There is something I always wanted to ask if I'd meet anyone here. {nl}Can you clean our workshop? Monsters pop out wherever I go and I can't work. {nl}The Kingdom army cowards are too scared to even come near here so don't mind them. {nl}What do you think? Can you help me?
QUEST_LV_0200_20150317_000221	The kind of work I do is business secret so I can't tell you what it is.. {nl}No one owns these things anyway. Finders keepers if you need it.
QUEST_LV_0200_20150317_000222	That fast? Have you not missed any of them?
QUEST_LV_0200_20150317_000223	Aren't you curious how I made it through the strict security? {nl}It's all becuase I have connections. There are some Kingdom soldiers who buy xxx claws to raise their work records. {nl}But actually, I don't want to be around those monsters. Especially with A's.
QUEST_LV_0200_20150317_000224	Can you catch them and get me those claws?
QUEST_LV_0200_20150317_000225	I think you misunderstood. We are archeologists, not thieves.
QUEST_LV_0200_20150317_000226	This seems quite pricey. {nl}Thank you very much.
QUEST_LV_0200_20150317_000227	You better stop if you're planning to get something from the Petrified City. {nl}Aside from us, there is the outrageous Diko grave thieves. {nl}But you might be at least rewarded if you help us out.
QUEST_LV_0200_20150317_000228	In area A, there is a box that contains things the Diko thieves bring in from outside. Can you get them? {nl}I took a sneak peek and seems like they are not back yet.
QUEST_LV_0200_20150317_000229	They are really clever. {nl}They bring in cheap antiques and place them where the Stone Frost blows. {nl}Then the antiques would petrify and turn into something that looks exquisite. {nl}I heard the nobles in big cities are fooled and buy them at expensive prices.
QUEST_LV_0200_20150317_000230	Seems like Diko thieves are planning to make their business bigger than I thought. {nl}That's an enormous amount. Do you think they also have connections with the Kingdom army?
QUEST_LV_0200_20150317_000231	Petrified flowers are sold at very high prices among novice sculptors. {nl}They look at this to make counterfeits but they don't know where it is from. {nl}It wouldn't do any good to know anyway..
QUEST_LV_0200_20150317_000232	So, can you collect some petrified flowers?
QUEST_LV_0200_20150317_000233	My brother once studied hard to become a sculptor. {nl}Although I don't know where he is after the Day of Divine Tree.. {nl}I'm sure he's carving a beautiful Goddess Statue somewhere if he is alive. .
QUEST_LV_0200_20150317_000234	This reminds me of my brother.. {nl}Where and what would he be doing now? {nl}Anyway, thank you for collecting it.
QUEST_LV_0200_20150317_000235	I have a friend who's supposed to come here but he's nowhere to be found. You didn't think I'd work alone in this huge area, did you? {nl}I think something happened.
QUEST_LV_0200_20150317_000236	He is hiding among the guards in Security Area. This Water Bottle has a code on it. If you give it to the guards, he'll know and talk to you.
QUEST_LV_0200_20150317_000237	Better work on it quickly because the Stone Frost just sweeped by. {nl}You can know when and where the Stone Frost starts if you observe the Kingdom army's retreat. {nl}And the fastest way to get that information is by becoming a Kingdom soldier.
QUEST_LV_0200_20150317_000238	Hush! Lower your voice. It will be the end of both of us if we get caught.
QUEST_LV_0200_20150317_000239	Did that stupid Juvertas send you here? {nl}I told him many times that I'd go back if I'm done with my work here. {nl}I didn't know his stupidity would send someone. {nl}There is a big problem here actually.
QUEST_LV_0200_20150317_000240	Our family can't come into the city from outside. {nl}We need your help. {nl}We can't bring in my family without the troops knowing. {nl}They should all be gone from here.
QUEST_LV_0200_20150317_000241	I'm going to make a big fuss in area A. I'm going to call in Salister that are roaming around the area. {nl}In order to do this, you need to gather Scented Stone Powder from the monsters. Can you do it?
QUEST_LV_0200_20150317_000242	Our families should have passed this place earlier than the Kingdom army. {nl}But Retia hurried things when the Stone Frost swept by some time ago so we weren't able to.
QUEST_LV_0200_20150317_000243	This is exactly right. {nl}If you pour this here, you will soon see the Salister show up it's huge self. {nl}But that is not our plan!
QUEST_LV_0200_20150317_000244	We should not make this place a battlefield. Then our families can't pass through. {nl}Let's think for a while..
QUEST_LV_0200_20150317_000245	Apply this powder on x monster that appear in area B. {nl}Then the bewitched Salister will attack them. {nl}Retia will not just stand and watch her area be invaded like that.
QUEST_LV_0200_20150317_000246	Our families come from various areas. I was also once a junior officer with dreams to become a strategist. {nl}Of course, it was before the area I was assigned to completely disappeared from the map 4 years ago on the Day of Divine Tree.
QUEST_LV_0200_20150317_000247	Did you use everything? {nl}Then now it's time to get busy!
QUEST_LV_0200_20150317_000248	Go to Retia and tell her that Salister is coming. {nl}She won't believe it but I can already feel the Salister running at us. {nl}Hurry!
